CohortMonth,CohortIndex,RetentionRate
2011-01,9,21.099999999999998
2011-02,9,17.7
2011-03,9,9.5
2011-04,9,
2011-05,9,
2011-06,9,
2011-07,9,
2011-08,9,
2011-09,9,
2011-10,9,
2011-11,9,
2011-12,9,
2009-12,10,42.199999999999996
2010-01,10,30.3
2010-02,10,11.5
2010-03,10,11.5
2010-04,10,7.5
2010-05,10,11.4
2010-06,10,10.7
2010-07,10,13.4
2010-08,10,13.0
2010-09,10,11.5
2010-10,10,10.6
2010-11,10,11.1
2010-12,10,9.2
2011-01,10,25.4
2011-02,10,5.6000000000000005
2011-03,10,
2011-04,10,
2011-05,10,
2011-06,10,
2011-07,10,
2011-08,10,
2011-09,10,
2011-10,10,
2011-11,10,
2011-12,10,
2009-12,11,49.5
2010-01,11,17.2
2010-02,11,12.6
2010-03,11,14.2
2010-04,11,13.900000000000002
2010-05,11,13.4
2010-06,11,13.700000000000001
2010-07,11,14.499999999999998
2010-08,11,12.3
2010-09,11,9.9
2010-10,11,13.0
2010-11,11,14.499999999999998
2010-12,11,19.7
2011-01,11,11.3
2011-02,11,
2011-03,11,
2011-04,11,
2011-05,11,
2011-06,11,
2011-07,11,
2011-08,11,
2011-09,11,
2011-10,11,
2011-11,11,
2011-12,11,
2009-12,12,37.6
2010-01,12,22.2
2010-02,12,15.2
2010-03,12,20.1
2010-04,12,13.900000000000002
2010-05,12,15.4
2010-06,12,14.799999999999999
2010-07,12,13.4
2010-08,12,15.4
2010-09,12,21.8
2010-10,12,19.1
2010-11,12,25.5
2010-12,12,2.6
2011-01,12,
2011-02,12,
2011-03,12,
2011-04,12,
2011-05,12,
2011-06,12,
2011-07,12,
2011-08,12,
2011-09,12,
2011-10,12,
2011-11,12,
2011-12,12,
2009-12,13,28.299999999999997
2010-01,13,17.8
2010-02,13,17.4
2010-03,13,16.3
2010-04,13,15.6
2010-05,13,15.4
2010-06,13,12.2
2010-07,13,13.4
2010-08,13,18.5
2010-09,13,16.5
2010-10,13,23.1
2010-11,13,6.2
2010-12,13,
2011-01,13,
2011-02,13,
2011-03,13,
2011-04,13,
2011-05,13,
2011-06,13,
2011-07,13,
2011-08,13,
2011-09,13,
2011-10,13,
2011-11,13,
2011-12,13,
2009-12,14,24.4
2010-01,14,18.8
2010-02,14,12.3
2010-03,14,20.1
2010-04,14,15.6
2010-05,14,9.8
2010-06,14,11.1
2010-07,14,19.400000000000002
2010-08,14,17.9
2010-09,14,16.0
2010-10,14,6.9
2010-11,14,
2010-12,14,
2011-01,14,
2011-02,14,
2011-03,14,
2011-04,14,
2011-05,14,
2011-06,14,
2011-07,14,
2011-08,14,
2011-09,14,
2011-10,14,
2011-11,14,
2011-12,14,
2009-12,15,30.3
2010-01,15,15.1
2010-02,15,20.1
2010-03,15,16.900000000000002
2010-04,15,15.6
2010-05,15,12.6
2010-06,15,12.2
2010-07,15,17.2
2010-08,15,19.8
2010-09,15,5.3
2010-10,15,
2010-11,15,
2010-12,15,
2011-01,15,
2011-02,15,
2011-03,15,
2011-04,15,
2011-05,15,
2011-06,15,
2011-07,15,
2011-08,15,
2011-09,15,
2011-10,15,
2011-11,15,
2011-12,15,
2009-12,16,26.3
2010-01,16,23.5
2010-02,16,16.0
2010-03,16,17.4
2010-04,16,13.900000000000002
2010-05,16,13.8
2010-06,16,13.3
2010-07,16,23.7
2010-08,16,6.800000000000001
2010-09,16,
2010-10,16,
2010-11,16,
2010-12,16,
2011-01,16,
2011-02,16,
2011-03,16,
2011-04,16,
2011-05,16,
2011-06,16,
2011-07,16,
2011-08,16,
2011-09,16,
2011-10,16,
2011-11,16,
2011-12,16,
2009-12,17,30.3
2010-01,17,19.8
2010-02,17,16.3
2010-03,17,15.6
2010-04,17,15.0
2010-05,17,16.5
2010-06,17,20.4
2010-07,17,8.1
2010-08,17,
2010-09,17,
2010-10,17,
2010-11,17,
2010-12,17,
2011-01,17,
2011-02,17,
2011-03,17,
2011-04,17,
2011-05,17,
2011-06,17,
2011-07,17,
2011-08,17,
2011-09,17,
2011-10,17,
2011-11,17,
2011-12,17,
2009-12,18,28.299999999999997
2010-01,18,18.5
2010-02,18,14.399999999999999
2010-03,18,17.599999999999998
2010-04,18,18.0
2010-05,18,15.4
2010-06,18,5.2
2010-07,18,
2010-08,18,
2010-09,18,
2010-10,18,
2010-11,18,
2010-12,18,
2011-01,18,
2011-02,18,
2011-03,18,
2011-04,18,
2011-05,18,
2011-06,18,
2011-07,18,
2011-08,18,
2011-09,18,
2011-10,18,
2011-11,18,
2011-12,18,
2009-12,19,26.0
2010-01,19,19.6
2010-02,19,23.0
2010-03,19,20.1
2010-04,19,22.400000000000002
2010-05,19,4.7
2010-06,19,
2010-07,19,
2010-08,19,
2010-09,19,
2010-10,19,
2010-11,19,
2010-12,19,
2011-01,19,
2011-02,19,
2011-03,19,
2011-04,19,
2011-05,19,
2011-06,19,
2011-07,19,
2011-08,19,
2011-09,19,
2011-10,19,
2011-11,19,
2011-12,19,
2009-12,20,25.5
2010-01,20,24.3
2010-02,20,23.0
2010-03,20,21.2
2010-04,20,5.800000000000001
2010-05,20,
2010-06,20,
2010-07,20,
2010-08,20,
2010-09,20,
2010-10,20,
2010-11,20,
2010-12,20,
2011-01,20,
2011-02,20,
2011-03,20,
2011-04,20,
2011-05,20,
2011-06,20,
2011-07,20,
2011-08,20,
2011-09,20,
2011-10,20,
2011-11,20,
2011-12,20,
2009-12,21,31.5
2010-01,21,19.3
2010-02,21,16.3
2010-03,21,7.9
2010-04,21,
2010-05,21,
2010-06,21,
2010-07,21,
2010-08,21,
2010-09,21,
2010-10,21,
2010-11,21,
2010-12,21,
2011-01,21,
2011-02,21,
2011-03,21,
2011-04,21,
2011-05,21,
2011-06,21,
2011-07,21,
2011-08,21,
2011-09,21,
2011-10,21,
2011-11,21,
2011-12,21,
2009-12,22,30.5
2010-01,22,24.5
2010-02,22,5.8999999999999995
2010-03,22,
2010-04,22,
2010-05,22,
2010-06,22,
2010-07,22,
2010-08,22,
2010-09,22,
2010-10,22,
2010-11,22,
2010-12,22,
2011-01,22,
2011-02,22,
2011-03,22,
2011-04,22,
2011-05,22,
2011-06,22,
2011-07,22,
2011-08,22,
2011-09,22,
2011-10,22,
2011-11,22,
2011-12,22,
2009-12,23,40.699999999999996
2010-01,23,5.7
2010-02,23,
2010-03,23,
2010-04,23,
2010-05,23,
2010-06,23,
2010-07,23,
2010-08,23,
2010-09,23,
2010-10,23,
2010-11,23,
2010-12,23,
2011-01,23,
2011-02,23,
2011-03,23,
2011-04,23,
2011-05,23,
2011-06,23,
2011-07,23,
2011-08,23,
2011-09,23,
2011-10,23,
2011-11,23,
2011-12,23,
2009-12,24,19.7
2010-01,24,
2010-02,24,
2010-03,24,
2010-04,24,
2010-05,24,
2010-06,24,
2010-07,24,
2010-08,24,
2010-09,24,
2010-10,24,
2010-11,24,
2010-12,24,
2011-01,24,
2011-02,24,
2011-03,24,
2011-04,24,
2011-05,24,
2011-06,24,
2011-07,24,
2011-08,24,
2011-09,24,
2011-10,24,
2011-11,24,
2011-12,24,
